from;to;amount
6252340591284;2281816336282;18795
7102948968041;4922554673069;490483707
9820252202399;6858256839386;34929653
1311186296331;7439191750718;718327977
9615203814487;3130527430243;461956924
7760757311852;5017900574231;887325059
7760757311852;5017900574231;887325059
7597828805884;4156307702730;514093540
3906676151086;2675015920387;403618682
3495800911635;5526437601490;763177371
4975541445826;7654439393013;-6935553
1810954813201;2501725092247;54108145
1376875235003;8180021184556;503892907
1791790625226;6870573604823;914958491
1791790625226;6870573604823;914958491
